id_note,id_logement,id_resident,score,commentaire,date_note
1,1,1,4,"Très bon logement, bien situé et propre.",2024-03-20
2,2,2,3,"Logement correct, mais un peu bruyant.",2024-06-15
3,3,3,5,"Parfait, rien à redire !",2024-02-10
4,4,4,2,"Problèmes de chauffage et d'isolation.",2024-05-10
5,5,5,4,"Très spacieux et lumineux.",2024-02-05
6,6,6,3,"Bien, mais la cuisine est un peu petite.",2024-04-20
7,7,7,5,"Excellent rapport qualité-prix.",2024-07-05
8,8,8,1,"Très déçu, beaucoup de problèmes techniques.",2024-03-01
9,9,9,4,"Agréable à vivre, bon emplacement.",2024-03-15
10,10,10,3,"Correct, mais le loyer est un peu élevé.",2024-06-30
11,1,2,4,"Très bon séjour, je recommande.",2024-03-25
12,2,3,2,"Problèmes de propreté à l'arrivée.",2024-06-20
13,3,4,5,"Logement impeccable, très bien équipé.",2024-02-15
14,4,5,3,"Assez bien, mais quelques réparations nécessaires.",2024-05-15
15,5,6,4,"Très confortable, idéal pour les familles.",2024-02-10
16,6,7,3,"Bien, mais manque de rangements.",2024-04-25
17,7,8,5,"Parfait pour un séjour court.",2024-07-10
18,8,9,2,"Problèmes de bruit et d'isolation.",2024-03-05
19,9,10,4,"Très bon logement, bien entretenu.",2024-03-20
20,10,1,3,"Correct, mais la décoration est vieillotte.",2024-07-05
